id_respondente;sexo_desc;escolaridade_desc;raca_desc;religiao_desc;rend1_desc;regiao_desc;cond_desc;idade_num;Resposta real;Resposta LLM
1202;FEM;3ª série;Parda;Deus é Amor;MAIS DE 1 A 2;SUDESTE;CAPITAL;20.0;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
1537;MAS;3ª série;Parda;Católica Apostólica Romana;ATÉ 1;SUDESTE;INTERIOR;38.0;Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
608;FEM;2ª série (ou 3º ano);Branca;Católica Apostólica Romana;ATÉ 1;NORDESTE;INTERIOR;47.0;Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
870;FEM;3ª série;Parda;Ateu, não tem religião;NÃO TEM RENDIMENTO PESSOAL;SUL;CAPITAL;26.0;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
1634;MAS;8ª série (ou 9º ano);Branca;Católica Apostólica Romana;ATÉ 1;NORDESTE;INTERIOR;22.0;Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1610;FEM;Superior completo;Branca;Outras Evangélicas específicas;MAIS DE 1 A 2;SUL;INTERIOR;26.0;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1654;MAS;1ª série;Parda;Católica Apostólica Romana;MAIS DE 1 A 2;NORTE;INTERIOR;20.0;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1228;FEM;3ª série;Parda;Católica Apostólica Romana;NÃO TEM RENDIMENTO PESSOAL;NORDESTE;INTERIOR;55.0;Não sabe/ Não respondeu;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
404;MAS;3ª série;Parda;Evangélica - Não sabe especificar;ATÉ 1;NORDESTE;PERIFERIA;26.0;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
613;MAS;Superior incompleto;Parda;Igreja Internacional da Graça;MAIS DE 1 A 2;SUDESTE;INTERIOR;21.0;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
869;FEM;Superior completo;Parda;Católica Apostólica Romana;MAIS DE 1 A 2;SUDESTE;CAPITAL;52.0;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
435;FEM;6ª série (ou 7º ano);Preta;Católica Apostólica Romana;ATÉ 1;NORDESTE;INTERIOR;61.0;Não sabe/ Não respondeu;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1183;FEM;3ª série;Parda;Católica Apostólica Romana;NÃO TEM RENDIMENTO PESSOAL;NORDESTE;INTERIOR;35.0;Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1122;MAS;Superior incompleto;Parda;Universal do Reino de Deus;MAIS DE 2 A 5;SUDESTE;CAPITAL;18.0;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
1432;FEM;3ª série;Branca;Católica Apostólica Romana;MAIS DE 2 A 5;NORDESTE;INTERIOR;65.0;Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1423;MAS;8ª série (ou 9º ano);Parda;Católica Apostólica Romana;MAIS DE 1 A 2;SUDESTE;PERIFERIA;27.0;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
781;MAS;2ª série;Parda;Ateu, não tem religião;NÃO RESPONDEU;SUDESTE;INTERIOR;18.0;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1915;FEM;3ª série;Parda;Assembléia de Deus;ATÉ 1;NORDESTE;PERIFERIA;35.0;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
460;MAS;Superior completo;Branca;Ateu, não tem religião;MAIS DE 5 A 10;NORDESTE;CAPITAL;36.0;Tenho visto mais favelas/barracos/áreas ocupadas;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
1272;MAS;Superior completo;Branca;Universal do Reino de Deus;MAIS DE 10 A 20;SUDESTE;INTERIOR;60.0;Não sabe/ Não respondeu;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
115;FEM;Superior completo;Branca;Católica Apostólica Romana;MAIS DE 1 A 2;NORDESTE;INTERIOR;51.0;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1007;MAS;2ª série;Parda;Assembléia de Deus;NÃO TEM RENDIMENTO PESSOAL;NORDESTE;CAPITAL;30.0;Tenho visto mais pessoas trabalhando nos semáforos/ruas;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1350;MAS;Superior completo;Branca;Católica Apostólica Romana;MAIS DE 5 A 10;SUDESTE;CAPITAL;26.0;Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
1078;FEM;Superior incompleto;Branca;Católica Apostólica Romana;MAIS DE 2 A 5;CENTRO OESTE;CAPITAL;30.0;Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
525;MAS;Superior completo;Parda;Afro-Brasileiras (Umbanda, Candomblé, etc);MAIS DE 5 A 10;NORDESTE;CAPITAL;31.0;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
1881;FEM;Superior completo;Branca;É religioso mas não segue nenhuma/ Agnóstico;MAIS DE 20;SUDESTE;PERIFERIA;32.0;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
1780;MAS;3ª série;Branca;Católica Apostólica Romana;MAIS DE 1 A 2;SUDESTE;INTERIOR;23.0;Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1416;FEM;Superior incompleto;Branca;Assembléia de Deus;MAIS DE 2 A 5;CENTRO OESTE;CAPITAL;20.0;Tenho visto mais pessoas trabalhando nos semáforos/ruas;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
1653;FEM;3ª série;Preta;Outras religiões;ATÉ 1;SUDESTE;PERIFERIA;41.0;Tenho visto mais pessoas trabalhando nos semáforos/ruas;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1303;MAS;Superior incompleto;Parda;Assembléia de Deus;NÃO TEM RENDIMENTO PESSOAL;NORDESTE;CAPITAL;19.0;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1954;FEM;5ª série (ou 6º ano);Preta;Deus é Amor;NÃO RESPONDEU;SUL;CAPITAL;47.0;Tenho visto mais favelas/barracos/áreas ocupadas;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
602;MAS;3ª série;Parda;Ateu, não tem religião;MAIS DE 5 A 10;NORDESTE;INTERIOR;35.0;Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1764;MAS;Superior incompleto;Parda;Evangelho Quadrangular;NÃO RESPONDEU;SUDESTE;INTERIOR;30.0;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
638;MAS;8ª série (ou 9º ano);Branca;Católica Apostólica Romana;MAIS DE 1 A 2;SUDESTE;PERIFERIA;70.0;Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1149;FEM;6ª série (ou 7º ano);Branca;Outras Evangélicas específicas;ATÉ 1;SUDESTE;PERIFERIA;67.0;Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1790;FEM;3ª série;Parda;É religioso mas não segue nenhuma/ Agnóstico;MAIS DE 1 A 2;SUDESTE;INTERIOR;22.0;Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
632;MAS;4ª série (ou 5º ano);Branca;Católica Apostólica Romana;ATÉ 1;NORDESTE;INTERIOR;66.0;Não sabe/ Não respondeu;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1336;FEM;3ª série;Branca;Católica Apostólica Romana;MAIS DE 2 A 5;NORTE;INTERIOR;32.0;Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
340;FEM;Superior completo;Parda;Outras Evangélicas específicas;MAIS DE 5 A 10;CENTRO OESTE;CAPITAL;36.0;Tenho visto mais pessoas trabalhando nos semáforos/ruas;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
855;MAS;8ª série (ou 9º ano);Branca;É religioso mas não segue nenhuma/ Agnóstico;MAIS DE 2 A 5;SUL;INTERIOR;28.0;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
537;MAS;8ª série (ou 9º ano);Parda;É religioso mas não segue nenhuma/ Agnóstico;MAIS DE 1 A 2;NORDESTE;INTERIOR;26.0;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1347;FEM;Superior completo;Branca;Assembléia de Deus;MAIS DE 5 A 10;SUDESTE;CAPITAL;51.0;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
1273;FEM;8ª série (ou 9º ano);Branca;Católica Apostólica Romana;NÃO TEM RENDIMENTO PESSOAL;SUL;INTERIOR;59.0;Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
935;MAS;8ª série (ou 9º ano);Parda;Ateu, não tem religião;MAIS DE 1 A 2;SUDESTE;PERIFERIA;56.0;Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1478;MAS;Superior incompleto;Branca;Ateu, não tem religião;MAIS DE 1 A 2;SUDESTE;CAPITAL;20.0;Tenho visto mais pessoas trabalhando nos semáforos/ruas;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
1996;FEM;3ª série;Branca;Batista/ Metodista/ Presbiteriana;MAIS DE 1 A 2;SUDESTE;INTERIOR;66.0;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
257;FEM;Superior incompleto;Branca;É religioso mas não segue nenhuma/ Agnóstico;MAIS DE 2 A 5;SUDESTE;CAPITAL;51.0;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
651;FEM;4ª série (ou 5º ano);Preta;Católica Apostólica Romana;ATÉ 1;SUDESTE;INTERIOR;66.0;Tenho visto mais pessoas trabalhando nos semáforos/ruas;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1739;MAS;4ª série (ou 5º ano);Branca;Católica Apostólica Romana;ATÉ 1;SUDESTE;INTERIOR;37.0;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
606;MAS;8ª série (ou 9º ano);Parda;Católica Apostólica Romana;ATÉ 1;NORDESTE;INTERIOR;25.0;Não sabe/ Não respondeu;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
415;FEM;3ª série;Branca;Espírita/ Kardecista;MAIS DE 1 A 2;SUDESTE;INTERIOR;45.0;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
491;FEM;3ª série;Branca;Outras Evangélicas específicas;ATÉ 1;SUDESTE;INTERIOR;21.0;Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1674;MAS;3ª série;Branca;Católica Apostólica Romana;ATÉ 1;SUDESTE;INTERIOR;33.0;Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1897;MAS;3ª série;Amarela;Outras Evangélicas específicas;ATÉ 1;NORTE;INTERIOR;25.0;Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
660;MAS;4ª série (ou 5º ano);Parda;Católica Apostólica Romana;ATÉ 1;NORDESTE;INTERIOR;30.0;Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
503;MAS;8ª série (ou 9º ano);Preta;Deus é Amor;ATÉ 1;CENTRO OESTE;INTERIOR;29.0;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
909;MAS;3ª série;Parda;Católica Apostólica Romana;ATÉ 1;NORDESTE;INTERIOR;44.0;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1029;FEM;Superior completo;Branca;Afro-Brasileiras (Umbanda, Candomblé, etc);MAIS DE 1 A 2;SUDESTE;CAPITAL;45.0;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos;Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
1012;MAS;3ª série;Branca;Ateu, não tem religião;NÃO RESPONDEU;SUDESTE;INTERIOR;18.0;Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade;Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
1278;MAS;Superior incompleto;Parda;Assembléia de Deus;ATÉ 1;NORDESTE;CAPITAL;32.0;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
567;MAS;3ª série;Indígena;Católica Apostólica Romana;NÃO RESPONDEU;NORDESTE;INTERIOR;44.0;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua;Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
566;FEM;2ª série (ou 3º ano);Parda;Outras Evangélicas específicas;ATÉ 1;SUDESTE;INTERIOR;57.0;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1395;FEM;3ª série;Parda;Católica Apostólica Romana;MAIS DE 10 A 20;SUDESTE;PERIFERIA;38.0;Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade;Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
351;FEM;3ª série;Branca;Outras religiões;NÃO RESPONDEU;SUDESTE;PERIFERIA;63.0;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos;Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1868;MAS;3ª série;Branca;Católica Apostólica Romana;MAIS DE 2 A 5;SUL;INTERIOR;33.0;Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade;Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
